msa.fips,metro.name,county.fips,county.name
33860,"Montgomery, AL (Metropolitan Statistical Area)",01001,"Autauga, AL"
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",01003,"Baldwin, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01007,"Bibb, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01009,"Blount, AL"
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",01015,"Calhoun, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01021,"Chilton, AL"
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",01033,"Colbert, AL"
33860,"Montgomery, AL (Metropolitan Statistical Area)",01051,"Elmore, AL"
23460,"Gadsden, AL (Metropolitan Statistical Area)",01055,"Etowah, AL"
20020,"Dothan, AL (Metropolitan Statistical Area)",01061,"Geneva, AL"
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",01065,"Hale, AL"
20020,"Dothan, AL (Metropolitan Statistical Area)",01067,"Henry, AL"
20020,"Dothan, AL (Metropolitan Statistical Area)",01069,"Houston, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01073,"Jefferson, AL"
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",01077,"Lauderdale, AL"
19460,"Decatur, AL (Metropolitan Statistical Area)",01079,"Lawrence, AL"
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",01081,"Lee, AL"
26620,"Huntsville, AL (Metropolitan Statistical Area)",01083,"Limestone, AL"
33860,"Montgomery, AL (Metropolitan Statistical Area)",01085,"Lowndes, AL"
26620,"Huntsville, AL (Metropolitan Statistical Area)",01089,"Madison, AL"
33660,"Mobile, AL (Metropolitan Statistical Area)",01097,"Mobile, AL"
33860,"Montgomery, AL (Metropolitan Statistical Area)",01101,"Montgomery, AL"
19460,"Decatur, AL (Metropolitan Statistical Area)",01103,"Morgan, AL"
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",01107,"Pickens, AL"
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",01113,"Russell, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01115,"St. Clair, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01117,"Shelby, AL"
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",01125,"Tuscaloosa, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01127,"Walker, AL"
11260,"Anchorage, AK (Metropolitan Statistical Area)",02020,"Anchorage Municipality, AK"
21820,"Fairbanks, AK (Metropolitan Statistical Area)",02090,"Fairbanks North Star Borough, AK"
11260,"Anchorage, AK (Metropolitan Statistical Area)",02170,"Matanuska-Susitna Borough, AK"
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",04003,"Cochise, AZ"
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",04005,"Coconino, AZ"
38060,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",04013,"Maricopa, AZ"
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",04015,"Mohave, AZ"
46060,"Tucson, AZ (Metropolitan Statistical Area)",04019,"Pima, AZ"
38060,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",04021,"Pinal, AZ"
39140,"Prescott, AZ (Metropolitan Statistical Area)",04025,"Yavapai, AZ"
49740,"Yuma, AZ (Metropolitan Statistical Area)",04027,"Yuma, AZ"
22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",05007,"Benton, AR"
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",05025,"Cleveland, AR"
27860,"Jonesboro, AR (Metropolitan Statistical Area)",05031,"Craighead, AR"
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",05033,"Crawford, AR"
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",05035,"Crittenden, AR"
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",05045,"Faulkner, AR"
26300,"Hot Springs, AR (Metropolitan Statistical Area)",05051,"Garland, AR"
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",05053,"Grant, AR"
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",05069,"Jefferson, AR"
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",05079,"Lincoln, AR"
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",05081,"Little River, AR"
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",05085,"Lonoke, AR"
22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",05087,"Madison, AR"
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",05091,"Miller, AR"
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",05105,"Perry, AR"
27860,"Jonesboro, AR (Metropolitan Statistical Area)",05111,"Poinsett, AR"
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",05119,"Pulaski, AR"
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",05125,"Saline, AR"
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",05131,"Sebastian, AR"
22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",05143,"Washington, AR"
41860,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",06001,"Alameda, CA"
17020,"Chico, CA (Metropolitan Statistical Area)",06007,"Butte, CA"
41860,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",06013,"Contra Costa, CA"
40900,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",06017,"El Dorado, CA"
23420,"Fresno, CA (Metropolitan Statistical Area)",06019,"Fresno, CA"
20940,"El Centro, CA (Metropolitan Statistical Area)",06025,"Imperial, CA"
12540,"Bakersfield, CA (Metropolitan Statistical Area)",06029,"Kern, CA"
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",06031,"Kings, CA"
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",06037,"Los Angeles, CA"
31460,"Madera, CA (Metropolitan Statistical Area)",06039,"Madera, CA"
41860,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",06041,"Marin, CA"
32900,"Merced, CA (Metropolitan Statistical Area)",06047,"Merced, CA"
41500,"Salinas, CA (Metropolitan Statistical Area)",06053,"Monterey, CA"
34900,"Napa, CA (Metropolitan Statistical Area)",06055,"Napa, CA"
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",06059,"Orange, CA"
40900,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",06061,"Placer, CA"
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",06065,"Riverside, CA"
40900,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",06067,"Sacramento, CA"
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",06069,"San Benito, CA"
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",06071,"San Bernardino, CA"
41740,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",06073,"San Diego, CA"
41860,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",06075,"San Francisco, CA"
44700,"Stockton-Lodi, CA (Metropolitan Statistical Area)",06077,"San Joaquin, CA"
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",06079,"San Luis Obispo, CA"
41860,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",06081,"San Mateo, CA"
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",06083,"Santa Barbara, CA"
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",06085,"Santa Clara, CA"
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",06087,"Santa Cruz, CA"
39820,"Redding, CA (Metropolitan Statistical Area)",06089,"Shasta, CA"
46700,"Vallejo-Fairfield, CA (Metropolitan Statistical Area)",06095,"Solano, CA"
42220,"Santa Rosa, CA (Metropolitan Statistical Area)",06097,"Sonoma, CA"
33700,"Modesto, CA (Metropolitan Statistical Area)",06099,"Stanislaus, CA"
49700,"Yuba City, CA (Metropolitan Statistical Area)",06101,"Sutter, CA"
47300,"Visalia-Porterville, CA (Metropolitan Statistical Area)",06107,"Tulare, CA"
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",06111,"Ventura, CA"
40900,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",06113,"Yolo, CA"
49700,"Yuba City, CA (Metropolitan Statistical Area)",06115,"Yuba, CA"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08001,"Adams, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08005,"Arapahoe, CO"
14500,"Boulder, CO (Metropolitan Statistical Area)",08013,"Boulder, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08014,"Broomfield, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08019,"Clear Creek, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08031,"Denver, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08035,"Douglas, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08039,"Elbert, CO"
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",08041,"El Paso, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08047,"Gilpin, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08059,"Jefferson, CO"
22660,"Fort Collins, CO (Metropolitan Statistical Area)",08069,"Larimer, CO"
24300,"Grand Junction, CO (Metropolitan Statistical Area)",08077,"Mesa, CO"
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",08093,"Park, CO"
39380,"Pueblo, CO (Metropolitan Statistical Area)",08101,"Pueblo, CO"
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",08119,"Teller, CO"
24540,"Greeley, CO (Metropolitan Statistical Area)",08123,"Weld, CO"
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",09001,"Fairfield, CT"
25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",09003,"Hartford, CT"
25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",09007,"Middlesex, CT"
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",09009,"New Haven, CT"
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",09011,"New London, CT"
25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",09013,"Tolland, CT"
49340,"Worcester, MA-CT (Metropolitan Statistical Area)",09015,"Windham, CT"
20100,"Dover, DE (Metropolitan Statistical Area)",10001,"Kent, DE"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",10003,"New Castle, DE"
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",10005,"Sussex, DE"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",11001,"District of Columbia, DC"
23540,"Gainesville, FL (Metropolitan Statistical Area)",12001,"Alachua, FL"
27260,"Jacksonville, FL (Metropolitan Statistical Area)",12003,"Baker, FL"
37460,"Panama City, FL (Metropolitan Statistical Area)",12005,"Bay, FL"
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",12009,"Brevard, FL"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",12011,"Broward, FL"
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",12015,"Charlotte, FL"
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",12017,"Citrus, FL"
27260,"Jacksonville, FL (Metropolitan Statistical Area)",12019,"Clay, FL"
34940,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",12021,"Collier, FL"
27260,"Jacksonville, FL (Metropolitan Statistical Area)",12031,"Duval, FL"
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",12033,"Escambia, FL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",12035,"Flagler, FL"
45220,"Tallahassee, FL (Metropolitan Statistical Area)",12039,"Gadsden, FL"
23540,"Gainesville, FL (Metropolitan Statistical Area)",12041,"Gilchrist, FL"
37460,"Panama City, FL (Metropolitan Statistical Area)",12045,"Gulf, FL"
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",12053,"Hernando, FL"
42700,"Sebring, FL (Metropolitan Statistical Area)",12055,"Highlands, FL"
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",12057,"Hillsborough, FL"
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",12061,"Indian River, FL"
45220,"Tallahassee, FL (Metropolitan Statistical Area)",12065,"Jefferson, FL"
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",12069,"Lake, FL"
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",12071,"Lee, FL"
45220,"Tallahassee, FL (Metropolitan Statistical Area)",12073,"Leon, FL"
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",12081,"Manatee, FL"
36100,"Ocala, FL (Metropolitan Statistical Area)",12083,"Marion, FL"
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",12085,"Martin, FL"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",12086,"Miami-Dade, FL"
27260,"Jacksonville, FL (Metropolitan Statistical Area)",12089,"Nassau, FL"
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",12091,"Okaloosa, FL"
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",12095,"Orange, FL"
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",12097,"Osceola, FL"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",12099,"Palm Beach, FL"
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",12101,"Pasco, FL"
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",12103,"Pinellas, FL"
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",12105,"Polk, FL"
27260,"Jacksonville, FL (Metropolitan Statistical Area)",12109,"St. Johns, FL"
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",12111,"St. Lucie, FL"
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",12113,"Santa Rosa, FL"
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",12115,"Sarasota, FL"
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",12117,"Seminole, FL"
45540,"The Villages, FL (Metropolitan Statistical Area)",12119,"Sumter, FL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",12127,"Volusia, FL"
45220,"Tallahassee, FL (Metropolitan Statistical Area)",12129,"Wakulla, FL"
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",12131,"Walton, FL"
10500,"Albany, GA (Metropolitan Statistical Area)",13007,"Baker, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13013,"Barrow, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13015,"Bartow, GA"
31420,"Macon, GA (Metropolitan Statistical Area)",13021,"Bibb, GA"
15260,"Brunswick, GA (Metropolitan Statistical Area)",13025,"Brantley, GA"
46660,"Valdosta, GA (Metropolitan Statistical Area)",13027,"Brooks, GA"
42340,"Savannah, GA (Metropolitan Statistical Area)",13029,"Bryan, GA"
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13033,"Burke, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13035,"Butts, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13045,"Carroll, GA"
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",13047,"Catoosa, GA"
42340,"Savannah, GA (Metropolitan Statistical Area)",13051,"Chatham, GA"
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",13053,"Chattahoochee, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13057,"Cherokee, GA"
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13059,"Clarke, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13063,"Clayton, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13067,"Cobb, GA"
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13073,"Columbia, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13077,"Coweta, GA"
31420,"Macon, GA (Metropolitan Statistical Area)",13079,"Crawford, GA"
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",13083,"Dade, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13085,"Dawson, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13089,"DeKalb, GA"
10500,"Albany, GA (Metropolitan Statistical Area)",13095,"Dougherty, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13097,"Douglas, GA"
46660,"Valdosta, GA (Metropolitan Statistical Area)",13101,"Echols, GA"
42340,"Savannah, GA (Metropolitan Statistical Area)",13103,"Effingham, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13113,"Fayette, GA"
40660,"Rome, GA (Metropolitan Statistical Area)",13115,"Floyd, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13117,"Forsyth, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13121,"Fulton, GA"
15260,"Brunswick, GA (Metropolitan Statistical Area)",13127,"Glynn, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13135,"Gwinnett, GA"
23580,"Gainesville, GA (Metropolitan Statistical Area)",13139,"Hall, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13143,"Haralson, GA"
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",13145,"Harris, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13149,"Heard, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13151,"Henry, GA"
47580,"Warner Robins, GA (Metropolitan Statistical Area)",13153,"Houston, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13159,"Jasper, GA"
31420,"Macon, GA (Metropolitan Statistical Area)",13169,"Jones, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13171,"Lamar, GA"
46660,"Valdosta, GA (Metropolitan Statistical Area)",13173,"Lanier, GA"
10500,"Albany, GA (Metropolitan Statistical Area)",13177,"Lee, GA"
25980,"Hinesville, GA (Metropolitan Statistical Area)",13179,"Liberty, GA"
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13181,"Lincoln, GA"
25980,"Hinesville, GA (Metropolitan Statistical Area)",13183,"Long, GA"
46660,"Valdosta, GA (Metropolitan Statistical Area)",13185,"Lowndes, GA"
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13189,"McDuffie, GA"
15260,"Brunswick, GA (Metropolitan Statistical Area)",13191,"McIntosh, GA"
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13195,"Madison, GA"
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",13197,"Marion, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13199,"Meriwether, GA"
31420,"Macon, GA (Metropolitan Statistical Area)",13207,"Monroe, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13211,"Morgan, GA"
19140,"Dalton, GA (Metropolitan Statistical Area)",13213,"Murray, GA"
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",13215,"Muscogee, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13217,"Newton, GA"
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13219,"Oconee, GA"
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13221,"Oglethorpe, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13223,"Paulding, GA"
47580,"Warner Robins, GA (Metropolitan Statistical Area)",13225,"Peach, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13227,"Pickens, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13231,"Pike, GA"
47580,"Warner Robins, GA (Metropolitan Statistical Area)",13235,"Pulaski, GA"
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13245,"Richmond, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13247,"Rockdale, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13255,"Spalding, GA"
10500,"Albany, GA (Metropolitan Statistical Area)",13273,"Terrell, GA"
31420,"Macon, GA (Metropolitan Statistical Area)",13289,"Twiggs, GA"
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",13295,"Walker, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13297,"Walton, GA"
19140,"Dalton, GA (Metropolitan Statistical Area)",13313,"Whitfield, GA"
10500,"Albany, GA (Metropolitan Statistical Area)",13321,"Worth, GA"
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",15003,"Honolulu, HI"
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",15901,"Maui + Kalawao, HI"
14260,"Boise City, ID (Metropolitan Statistical Area)",16001,"Ada, ID"
38540,"Pocatello, ID (Metropolitan Statistical Area)",16005,"Bannock, ID"
14260,"Boise City, ID (Metropolitan Statistical Area)",16015,"Boise, ID"
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",16019,"Bonneville, ID"
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",16023,"Butte, ID"
14260,"Boise City, ID (Metropolitan Statistical Area)",16027,"Canyon, ID"
30860,"Logan, UT-ID (Metropolitan Statistical Area)",16041,"Franklin, ID"
14260,"Boise City, ID (Metropolitan Statistical Area)",16045,"Gem, ID"
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",16051,"Jefferson, ID"
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",16055,"Kootenai, ID"
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",16069,"Nez Perce, ID"
14260,"Boise City, ID (Metropolitan Statistical Area)",16073,"Owyhee, ID"
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",17003,"Alexander, IL"
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",17005,"Bond, IL"
40420,"Rockford, IL (Metropolitan Statistical Area)",17007,"Boone, IL"
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",17013,"Calhoun, IL"
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",17019,"Champaign, IL"
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",17027,"Clinton, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17031,"Cook, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17037,"DeKalb, IL"
14010,"Bloomington, IL (Metropolitan Statistical Area)",17039,"De Witt, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17043,"DuPage, IL"
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",17053,"Ford, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17063,"Grundy, IL"
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",17073,"Henry, IL"
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",17077,"Jackson, IL"
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",17083,"Jersey, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17089,"Kane, IL"
28100,"Kankakee, IL (Metropolitan Statistical Area)",17091,"Kankakee, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17093,"Kendall, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17097,"Lake, IL"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17111,"McHenry, IL"
14010,"Bloomington, IL (Metropolitan Statistical Area)",17113,"McLean, IL"
19500,"Decatur, IL (Metropolitan Statistical Area)",17115,"Macon, IL"
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",17117,"Macoupin, IL"
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",17119,"Madison, IL"
37900,"Peoria, IL (Metropolitan Statistical Area)",17123,"Marshall, IL"
44100,"Springfield, IL (Metropolitan Statistical Area)",17129,"Menard, IL"
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",17131,"Mercer, IL"
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",17133,"Monroe, IL"
37900,"Peoria, IL (Metropolitan Statistical Area)",17143,"Peoria, IL"
